date	section	value	image	notes	pinned
2026-08-27	reading	"[Once & Future, Vol. 1–4](https://www.goodreads.com/book/show/51201509-once-future-vol-1) — Kieron Gillen

A fun subversion of the Arthurian legends. My favourite line in recent times come from the first book: ""You can never trust a bloody prophecy that you can't read two ways."""	assets/now/reading/onceandfuture.jpg		FALSE
2026-08-20	reading	"[The Name of the Wind](https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind) — Patrick Rothfuss

An epic fantasy, recommended long ago by a friend, I finally got down to reading it while in Landour. Hits the genre squarely in the head and rings the bell nicely. Magic and music, lore and lifetimes. And an innkeeper who serves strawberry wine. And I understood why I'm called the Artificer. Absoloutely loved it, absoloutely stricken that the third book isn't out yet."	assets/now/reading/nameofthewindcover.jpg		FALSE
2026-08-10	reading	"[Strange Houses](https://www.goodreads.com/book/show/218671839-strange-houses) — Uketsu

A birthday gift from a friend, this was a short read, fun, and not actual horror, though somewhat horrific. Good stuff."	assets/now/reading/strangehouses.jpg		FALSE
2026-07-28	reading	"[The Draco Tavern](https://www.goodreads.com/book/show/100343.The_Draco_Tavern) — Larry Niven

Recommended by the inimitable Dr Kurush Dalal, during his Science Fiction workshop. Amazing set of short stories, perfectly scratching the sci-fi itch."	assets/now/reading/thedracotavern.jpg		FALSE
2026-07-15	reading	"[Grotto of the Dancing Deer and Other Stories](https://www.goodreads.com/en/book/show/27277484) — Clifford D. Simak

Also came up during the Science Fiction workshop, a set of old-school sci-fi stories, doubly sweet for being distant from now in both directions, for writing about a future from so far back in the past."	assets/now/reading/grottoofthedancingdeer.jpg		FALSE
2026-07-01	reading	"[Airplane Mode](https://www.goodreads.com/book/show/50831138-airplane-mode) — Shahnaz Habib

Picked this up from KitabKhana a while ago, the blurb was interesting enough but the contents ! The book is a perfect blend of personal anecdotes woven into the much larger history of travel. Which works for me in three ways - history being something I'm always interested in, travel being one of my favourite things I am not doing much of, and so many questions I'd always had - some spoken out loud, some I hadn't realised I had - from my own experiences and from what I know of the world. I loved this book and would recommend it to anyone and everyone."	assets/now/reading/airplanemode.jpg		TRUE
2026-06-15	reading	"[Shattered Lands](https://www.goodreads.com/book/show/222717408-shattered-lands) — Sam Dalrymple

An absolutely amazing read, I don't remember how I bumped into this one, but this was a fantastic early-in-the-year read, and a book I actually can't stop talking about. Another one of those books that answers so many questions I had and more that I didn't know I needed answers to. It traces the history of British India, a territory that once stretched from the Aden in the west to Rangoon in the east, and how it got broken, divided, and distributed into the 11-odd countries of modern-day South Asia as well as the origins of the ""Middle-East"". Sam Dalrymple's first book is rich in research and delicious on the story-telling.

I managed to get a signed copy from Trilogy, though I missed the signing itself since I was travelling."	assets/now/reading/shatteredlands.jpg		TRUE
2026-08-22	watching	"The Expanse — currently around Season 3

Loving it. Must watch, highly recommend."			FALSE
2026-08-18	watching	"Spider-Man: Brand New Day

Not bad. Lots of holes but a fun enough watch. Don't expect epicness, the overhype is a killjoy, but go expecting nothing and it's a fun ride."			FALSE
2026-08-25	watching	"Christopher Nolan's *The Odyssey*

Despite the naysaying, this was a movie I am glad got made - having said that, my opinion is that a second watch is entirely unnecessary. 

I was not put off by the anachronic costumes or language or Tom Holland going ""Dad!"" (not much atleast by that last one) or the Imax vs regular film debate, and I do definitely like that it is a ReTelling of the story not a movie version of the Same story. But at the same time, it was not very satisfying - the first half felt too long, though that is to be expected of a story that is literally the original archetype for the long and tiresome tale, an odyssey after all. But maybe the people who make the MCU should have tried their hand at this one. 

Anne Hathaway was wasted, and while Tom Halland was fine, that screentime would have been better spent on Penelope - then again, she should have channeled a little inner Cersei, instead of having a Smeagol-Gollum moment. Matt Damon spent a lot of time running on beaches. Good for him. The entire Calypso aspect was lost. 

The Cyclops and Circe body-hoorror bits were.. unnecessary. The glimpse of Goya's Cronus Eating His Children reference was a good stroke though. The funny one post interval was Calypso channeling her inner Raabert and essentially telling our brilliant beach bum ""Poseidon tumhe jeene nahi dega, par Zeus tumhe marne nahi dega.""

In retrospect, knowing that it was The Odyssey being worked on, and an odyssey it would need to be, this would have been better off as a 10-episode Netflix series rather than the movie it became. I am glad it became something, but it could have been so much more."			FALSE
2026-08-26	music	Morni — Silk Route			FALSE
2026-08-12	music	Dhindhora Baje — *Rocky Aur Rani Kii Prem Kahaani*			FALSE
2026-08-15	music	Running Through My Head — t.A.T.u. version			FALSE
2026-08-15	music	Running Through My Head — Harrison version			FALSE
2026-08-28	andThenSome	I've been awaiting the Sci-Fi workshop by Kurush Dalal and the GyanFactory since the day we chatted about it, almost a year ago(?) A romp through the Golden Age of Sci-Fi, horror, modern sci-fi, in movies, in comics - so much fun, with so many like-minded participants. The session on the Golden Age led me to compile a reading lust which led me to decide to sort them, from where I finally decided to create the whole Golden Age of Sci-Fi page here, which precipitated the need to revamp this whole site, and so rolled the ball.			FALSE
2026-07-16	travel	I spent some quiet time in Landour to decompress. Read The Name of the Wind, finally. Went to Sir George Everest's estate which has now been converted to a cartography museum. Tracked down some old maps, picked up some new books. Stood at the northern end of the spine of the Great Trigonometric Survey that started off at Marina beach in then Madras and turned north around Bangalore, where I was the previous week. It's been quite an arc.	assets/now/travel/2026_0713_114843-114843.jpg		FALSE
2026-07-01	travel	India's first community conference on Data Visualisation, the second edition. So. Much. Fun. Amazing workshops, warm people, tirelessly working volunteers and teams. New people to meet, new things to discover, everyone nerding out on the same jokes. Amazing time.	assets/now/travel/vizchitra.jpg		FALSE
2026-08-28	curiosities	"HTTPoetics as an area of practice and interest, including SFPC's HTTPoetics course. Thinking about the line between hand-coded web work and pages built in collaboration with AI — where the intent, structure, and logic stay human-directed. Not hand-coded, but also not usefully described as ""vibe coded."""		DIF: expand	FALSE
2026-08-22	found	[Floor796.com](https://floor796.com/) was sent to me by a close friend many moons ago, and I remembered it enough to not only sit and stare at it in appreciation all over again but also showcase it to my students to prove that the web does not have to be a boring set of login screens.	assets/now/found/floor796.jpg		FALSE
2026-08-18	found	[neal.fun](neal.fun) is a fun collection of webpages and webgames, weird and quirky. I periodically stumble upon this and wonder why I forgot it in the first place.			FALSE
2026-08-10	found	*Ascension* at Afghan Church - a short but fun projection-mapping experience inside Afghan Church, Colaba.			FALSE
2026-08-29	teaching	"Currently wrapping up a course on Emergent Technologies, it has been a fun ride rewriting the entire course this year. Lots of AI, but lots of the social impact, ethics, implications and enshittification that big tech suffers from.

Apart from this, I'm teaching the opening Materials course to the FY, Material Explorations 1 : Paper. Later in the semester, I have Lighting Design for the TY Tangible students, and a Design Challenge for the FY again. I'm not meeting the SYs at all this semester, except in the corridors."			FALSE
